400,0.9039
800,0.9166
1200,0.9733
1600,0.9561
2000,0.9760
2400,0.9583
2800,0.9687
3200,0.9174
3600,0.9421
4000,0.8607
4400,0.8580
4800,0.9316
5200,0.9565
5600,0.8884
6000,0.8947
6400,0.9327
6800,0.8745
7200,0.9581
7600,0.8982
7950,0.6981
8150,0.9029
8350,0.9233
8550,0.9255
8750,0.9473
8950,0.9712
9150,0.8869
9350,0.6381
9550,0.9489
9750,0.9584
9950,0.9592
10150,0.8814
10350,0.9333
10550,0.9033
10750,0.9524
10950,0.9040
11150,0.8973
11350,0.9146
11550,0.9664
11750,0.9514
11950,0.9733
12150,0.9337
12350,0.9679
12550,0.9535
12750,0.9538
12950,0.9496
13150,0.9704
13350,0.9373
13550,0.9482
13750,0.9624
13950,0.9610
14150,0.9675
14350,0.9703
14550,0.9590
14750,0.9685
14950,0.9662
15150,0.9681
15350,0.9626
15550,0.9663
15750,0.9703
15950,0.9634
16150,0.9668
16350,0.9562
16550,0.9700
16750,0.9674
16950,0.9747
17150,0.9692
17350,0.9645
17550,0.9624
17750,0.9718
17950,0.9716
18150,0.9731
18350,0.9728
18550,0.9682
18750,0.9657
18950,0.9743
19150,0.9606
19350,0.9695
19550,0.9662
19750,0.9731
19950,0.9581
20150,0.9717
20350,0.9639
20550,0.9414
20750,0.9729
20950,0.9739
21150,0.9732
21350,0.9595
21550,0.9662
21750,0.9599
21950,0.9738
22150,0.9743
